time_s,no_channels,s_100_um,s_50_um,s_25_um,s_10_um
1.3560400405995875e-05,0.9989290955915495,0.9967792247590256,0.9924469503701558,0.983649949891356,0.9561492085785251
1.3805339772994307e-05,0.9989128018039872,0.9967302207329444,0.992332030882343,0.9834011842302942,0.9554820197293434
1.4054703441024373e-05,0.9988963133660255,0.9966806312902915,0.9922157385323808,0.9831494467411586,0.954806860445078
1.430857132553559e-05,0.9988796288463668,0.9966304521263998,0.9920980632253814,0.9828947155715941,0.9541236721177705
1.4567024785477566e-05,0.9988627468126062,0.9965796789332697,0.9919789948586419,0.9826369688523282,0.9534323960940887
1.4830146649373834e-05,0.9988456658309043,0.9965283073985913,0.9918585233193525,0.9823761846922106,0.9527329736620265
1.5098021241866356e-05,0.998828384465645,0.9964763332047061,0.9917366384821583,0.982112341172934,0.9520253460367388
1.5370734410739783e-05,0.9988109012790651,0.9964237520275017,0.9916133302065699,0.9818454163434304,0.9513094543455209
1.5648373554433724e-05,0.9987932148308687,0.996370559535247,0.9914885883342336,0.9815753882139595,0.9505852396119472
1.5931027650051933e-05,0.9987753236778195,0.9963167513873685,0.9913624026860556,0.9813022347498871,0.9498526427391847
1.621878728187762e-05,0.9987572263733132,0.9962623232331629,0.9912347630591898,0.9810259338651612,0.9491116044925021
1.6511744670403464e-05,0.9987389214669318,0.9962072707104571,0.9911056592238916,0.9807464634155024,0.948362065480999
1.6809993701886348e-05,0.9987204075039792,0.9961515894442106,0.9909750809202381,0.9804638011913059,0.9476039661385739
1.7113629958435758e-05,0.9987016830249961,0.9960952750450613,0.9908430178547257,0.9801779249102741,0.9468372467041638
1.7422750748645664e-05,0.9986827465652648,0.9960383231078266,0.9907094596967462,0.9798888122097892,0.9460618472012866
1.773745513877988e-05,0.9986635966542887,0.9959807292099485,0.9905743960749478,0.9795964406390358,0.9452777074169143
1.805784398452037e-05,0.9986442318152658,0.9959224889099002,0.9904378165734882,0.9793007876508896,0.9444847668797176
1.8384019963289304e-05,0.9986246505645371,0.9958635977455377,0.9902997107281838,0.9790018305935835,0.9436829648377181
1.8716087607155012e-05,0.9986048514110318,0.9958040512324237,0.9901600680225667,0.9786995467021703,0.9428722402353866
1.9054153336331917e-05,0.9985848328556949,0.9957438448621061,0.9900188778838526,0.9783939130897944,0.9420525316902367
1.939832549328597e-05,0.9985645933909024,0.995682974100365,0.9898761296788279,0.97808490673879,0.941223777468949
1.974871437745595e-05,0.9985441314998692,0.9956214343854272,0.9897318127096661,0.9777725044916245,0.9403859154630819
2.01054322806019e-05,0.9985234456560489,0.9955592211261581,0.9895859162096818,0.9774566830417039,0.9395388831644119
2.046859352279229e-05,0.9985025343225192,0.9954963297002232,0.9894384293390257,0.9771374189240593,0.9386826176399544
2.0838314489040762e-05,0.9984813959513705,0.995432755452237,0.9892893411803384,0.976814688505936,0.9378170555067217
2.1214713666605095e-05,0.9984600289830776,0.9953684936918898,0.9891386407343634,0.9764884679772979,0.9369421329062619
2.1597911682959662e-05,0.9984384318458833,0.9953035396920719,0.9889863169155386,0.9761587333412791,0.9360577854790415
2.1988031344453763e-05,0.9984166029551614,0.9952378886869774,0.9888323585475597,0.9758254604045896,0.9351639483387219
2.23851976756685e-05,0.9983945407127921,0.9951715358702155,0.988676754358945,0.9754886247679065,0.9342605560463829
2.2789537959484063e-05,0.998372243506531,0.9951044763929161,0.9885194929785949,0.9751482018162659,0.9333475425847554
2.320118177787121e-05,0.9983497097093822,0.9950367053618423,0.988360562931364,0.9748041667094763,0.9324248413325114
2.3620261053419296e-05,0.998326937678972,0.9949682178375093,0.9881999526336533,0.9744564943725756,0.9314923850386695
2.404691009161467e-05,0.9983039257569291,0.9948990088323186,0.9880376503890304,0.9741051594863536,0.9305501057971718
2.4481265623882283e-05,0.9982806722682686,0.9948290733087063,0.9878736443838882,0.9737501364779519,0.9295979350216822
2.4923466851405246e-05,0.9982571755207837,0.9947584061773121,0.9877079226831531,0.9733913995115747,0.9286358034206629
2.5373655489735545e-05,0.9982334338044446,0.9946870022951728,0.9875404732260477,0.9730289224793146,0.927663640972775
2.5831975814210926e-05,0.998209445390807,0.9946148564639443,0.9873712838219181,0.9726626789921224,0.9266813769026573
2.629857470619158e-05,0.9981852085324312,0.9945419634281516,0.9872003421461354,0.9722926423709334,0.9256889396571291
2.6773601700132508e-05,0.998160721462312,0.9944683178734773,0.9870276357360774,0.9719187856379693,0.9246862568818608
2.7257209031505924e-05,0.998135982393322,0.9943939144250848,0.986853151987199,0.9715410815082317,0.923673255398557
2.7749551685589222e-05,0.9981109895176674,0.994318747645983,0.9866768781491965,0.9711595023811995,0.9226498611826921
2.8250787447134522e-05,0.998085741006359,0.9942428120354347,0.9864988013222734,0.9707740203327462,0.9216159993418338
2.8761076950934778e-05,0.9980602350086968,0.9941661020274094,0.9863189084535161,0.9703846071072921,0.9205715940945907
2.9280583733303852e-05,0.998034469651774,0.9940886119890858,0.9861371863333784,0.9699912341101973,0.9195165687502143
2.9809474284486107e-05,0.9980084430399941,0.9940103362194038,0.9859536215922876,0.9695938724004107,0.9184508456888812
3.0347918102013034e-05,0.9979821532546066,0.9939312689476677,0.9857682006973668,0.9691924926833806,0.9173743463426808
3.089608774502303e-05,0.997955598353261,0.9938514043322026,0.985580909949288,0.9687870653042364,0.9162869911773283
3.1454158889562966e-05,0.9979287763695781,0.9937707364590672,0.985391735479248,0.9683775602412463,0.9151886996746179
3.20223103848883e-05,0.9979016853127382,0.9936892593408171,0.9852006632460751,0.9679639470995557,0.9140793903156285
3.2600724310780475e-05,0.9978743231670925,0.9936069669153307,0.98500767903347,0.9675461951052085,0.9129589805646922
3.3189586035899025e-05,0.9978466878917888,0.993523853044687,0.9848127684473744,0.9671242730994565,0.9118273868541278
3.3789084277188314e-05,0.997818777420417,0.9934399115140995,0.9846159169134742,0.9666981495333515,0.9106845245697383
